r,T
0.599218, 17.0235
0.600196, 16.9941
0.601173, 16.9648
0.602151, 16.9354
0.603128, 16.9059
0.604106, 16.8764
0.605083, 16.8469
0.606061, 16.8173
0.607038, 16.7876
0.608016, 16.7579
0.608993, 16.7282
0.609971, 16.6984
0.610948, 16.6686
0.611926, 16.6387
0.612903, 16.6087
0.613881, 16.5788
0.614858, 16.5487
0.615836, 16.5187
0.616813, 16.4885
0.617791, 16.4584
0.618768, 16.4281
0.619746, 16.3979
0.620723, 16.3676
0.621701, 16.3372
0.622678, 16.3068
0.623656, 16.2763
0.624633, 16.2458
0.625611, 16.2153
0.626588, 16.1847
0.627566, 16.154
0.628543, 16.1233
0.629521, 16.0926
0.630499, 16.0618
0.631476, 16.031
0.632454, 16.0001
0.633431, 15.9691
0.634409, 15.9381
0.635386, 15.9071
0.636364, 15.876
0.637341, 15.8449
0.638319, 15.8137
0.639296, 15.7825
0.640274, 15.7512
0.641251, 15.7199
0.642229, 15.6886
0.643206, 15.6571
0.644184, 15.6257
0.645161, 15.5942
0.646139, 15.5626
0.647116, 15.531
0.648094, 15.4994
0.649071, 15.4677
0.650049, 15.4359
0.651026, 15.4041
0.652004, 15.3723
0.652981, 15.3404
0.653959, 15.3084
0.654936, 15.2765
0.655914, 15.2444
0.656891, 15.2123
0.657869, 15.1802
0.658847, 15.148
0.659824, 15.1158
0.660802, 15.0835
0.661779, 15.0512
0.662757, 15.0188
0.663734, 14.9864
0.664712, 14.954
0.665689, 14.9215
0.666667, 14.8889
0.667644, 14.8563
0.668622, 14.8236
0.669599, 14.7909
0.670577, 14.7582
0.671554, 14.7254
0.672532, 14.6925
0.673509, 14.6596
0.674487, 14.6267
0.675464, 14.5937
0.676442, 14.5607
0.677419, 14.5276
0.678397, 14.4944
0.679374, 14.4613
0.680352, 14.428
0.681329, 14.3948
0.682307, 14.3614
0.683284, 14.3281
0.684262, 14.2946
0.685239, 14.2612
0.686217, 14.2277
0.687195, 14.1941
0.688172, 14.1605
0.68915, 14.1268
0.690127, 14.0931
0.691105, 14.0594
0.692082, 14.0256
0.69306, 13.9917
0.694037, 13.9578
0.695015, 13.9239
0.695992, 13.8899
0.69697, 13.8558
0.697947, 13.8217
0.698925, 13.7876
0.699902, 13.7534
0.70088, 13.7192
0.701857, 13.6849
0.702835, 13.6506
0.703812, 13.6162
0.70479, 13.5818
0.705767, 13.5473
0.706745, 13.5128
0.707722, 13.4782
0.7087, 13.4436
0.709677, 13.409
0.710655, 13.3742
0.711632, 13.3395
0.71261, 13.3047
0.713587, 13.2698
0.714565, 13.2349
0.715543, 13.2
0.71652, 13.165
0.717498, 13.1299
0.718475, 13.0948
0.719453, 13.0597
0.72043, 13.0245
0.721408, 12.9893
0.722385, 12.954
0.723363, 12.9187
0.72434, 12.8833
0.725318, 12.8479
0.726295, 12.8124
0.727273, 12.7769
0.72825, 12.7413
0.729228, 12.7057
0.730205, 12.67
0.731183, 12.6343
0.73216, 12.5985
0.733138, 12.5627
0.734115, 12.5269
0.735093, 12.491
0.73607, 12.455
0.737048, 12.419
0.738025, 12.383
0.739003, 12.3469
0.73998, 12.3107
0.740958, 12.2745
0.741935, 12.2383
0.742913, 12.202
0.743891, 12.1657
0.744868, 12.1293
0.745846, 12.0929
0.746823, 12.0564
0.747801, 12.0199
0.748778, 11.9833
0.749756, 11.9467
0.750733, 11.91
0.751711, 11.8733
0.752688, 11.8365
0.753666, 11.7997
0.754643, 11.7628
0.755621, 11.7259
0.756598, 11.689
0.757576, 11.652
0.758553, 11.6149
0.759531, 11.5778
0.760508, 11.5407
0.761486, 11.5035
0.762463, 11.4662
0.763441, 11.429
0.764418, 11.3916
0.765396, 11.3542
0.766373, 11.3168
0.767351, 11.2793
0.768328, 11.2418
0.769306, 11.2042
0.770283, 11.1666
0.771261, 11.1289
0.772239, 11.0912
0.773216, 11.0534
0.774194, 11.0156
0.775171, 10.9777
0.776149, 10.9398
0.777126, 10.9019
0.778104, 10.8639
0.779081, 10.8258
0.780059, 10.7877
0.781036, 10.7496
0.782014, 10.7114
0.782991, 10.6731
0.783969, 10.6348
0.784946, 10.5965
0.785924, 10.5581
0.786901, 10.5197
0.787879, 10.4812
0.788856, 10.4426
0.789834, 10.4041
0.790811, 10.3654
0.791789, 10.3268
0.792766, 10.288
0.793744, 10.2493
0.794721, 10.2104
0.795699, 10.1716
0.796676, 10.1327
0.797654, 10.0937
0.798631, 10.0547
0.799609, 10.0156
0.800587, 9.97653
0.801564, 9.93738
0.802542, 9.89818
0.803519, 9.85893
0.804497, 9.81963
0.805474, 9.78029
0.806452, 9.7409
0.807429, 9.70146
0.808407, 9.66197
0.809384, 9.62243
0.810362, 9.58285
0.811339, 9.54322
0.812317, 9.50354
0.813294, 9.46381
0.814272, 9.42404
0.815249, 9.38422
0.816227, 9.34435
0.817204, 9.30443
0.818182, 9.26447
0.819159, 9.22445
0.820137, 9.18439
0.821114, 9.14428
0.822092, 9.10413
0.823069, 9.06392
0.824047, 9.02367
0.825024, 8.98337
0.826002, 8.94302
0.826979, 8.90263
0.827957, 8.86218
0.828935, 8.82169
0.829912, 8.78115
0.83089, 8.74057
0.831867, 8.69993
0.832845, 8.65925
0.833822, 8.61852
0.8348, 8.57774
0.835777, 8.53692
0.836755, 8.49604
0.837732, 8.45512
0.83871, 8.41415
0.839687, 8.37314
0.840665, 8.33207
0.841642, 8.29096
0.84262, 8.2498
0.843597, 8.20859
0.844575, 8.16734
0.845552, 8.12603
0.84653, 8.08468
0.847507, 8.04329
0.848485, 8.00184
0.849462, 7.96034
0.85044, 7.9188
0.851417, 7.87721
0.852395, 7.83557
0.853372, 7.79389
0.85435, 7.75216
0.855327, 7.71037
0.856305, 7.66855
0.857283, 7.62667
0.85826, 7.58475
0.859238, 7.54277
0.860215, 7.50075
0.861193, 7.45869
0.86217, 7.41657
0.863148, 7.37441
0.864125, 7.3322
0.865103, 7.28994
0.86608, 7.24763
0.867058, 7.20528
0.868035, 7.16287
0.869013, 7.12042
0.86999, 7.07793
0.870968, 7.03538
0.871945, 6.99279
0.872923, 6.95015
0.8739, 6.90746
0.874878, 6.86472
0.875855, 6.82194
0.876833, 6.77911
0.87781, 6.73623
0.878788, 6.6933
0.879765, 6.65032
0.880743, 6.6073
0.88172, 6.56423
0.882698, 6.52111
0.883675, 6.47794
0.884653, 6.43473
0.88563, 6.39147
0.886608, 6.34816
0.887586, 6.3048
0.888563, 6.26139
0.889541, 6.21794
0.890518, 6.17444
0.891496, 6.13089
0.892473, 6.08729
0.893451, 6.04365
0.894428, 5.99996
0.895406, 5.95622
0.896383, 5.91243
0.897361, 5.8686
0.898338, 5.82471
0.899316, 5.78078
0.900293, 5.7368
0.901271, 5.69278
0.902248, 5.6487
0.903226, 5.60458
0.904203, 5.56041
0.905181, 5.51619
0.906158, 5.47193
0.907136, 5.42761
0.908113, 5.38325
0.909091, 5.33884
0.910068, 5.29439
0.911046, 5.24988
0.912023, 5.20533
0.913001, 5.16073
0.913978, 5.11608
0.914956, 5.07139
0.915934, 5.02665
0.916911, 4.98185
0.917889, 4.93702
0.918866, 4.89213
0.919844, 4.84719
0.920821, 4.80221
0.921799, 4.75718
0.922776, 4.71211
0.923754, 4.66698
0.924731, 4.62181
0.925709, 4.57659
0.926686, 4.53132
0.927664, 4.486
0.928641, 4.44064
0.929619, 4.39522
0.930596, 4.34976
0.931574, 4.30426
0.932551, 4.2587
0.933529, 4.2131
0.934506, 4.16745
0.935484, 4.12175
0.936461, 4.076
0.937439, 4.03021
0.938416, 3.98437
0.939394, 3.93848
0.940371, 3.89254
0.941349, 3.84655
0.942326, 3.80052
0.943304, 3.75444
0.944282, 3.70831
0.945259, 3.66213
